[27-Jan-2022 07:21:00 UTC] PHP Parse error:  syntax error, unexpected 'the_title' (T_STRING) in C:\Users\RPC45\Local Sites\mysite2\app\public\wp-content\themes\mytheme\index.php on line 1
[27-Jan-2022 07:21:00 UTC] PHP Stack trace:
[27-Jan-2022 07:21:00 UTC] PHP   1. {main}() C:\Users\RPC45\Local Sites\mysite2\app\public\index.php:0
[27-Jan-2022 07:21:00 UTC] PHP   2. require() C:\Users\RPC45\Local Sites\mysite2\app\public\index.php:17
[27-Jan-2022 07:21:00 UTC] PHP   3. require_once() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-blog-header.php:19
[27-Jan-2022 07:22:12 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-list-util.php on line 165
[27-Jan-2022 07:22:12 UTC] PHP Stack trace:
[27-Jan-2022 07:22:12 UTC] PHP   1. {main}() C:\Users\RPC45\Local Sites\mysite2\app\public\index.php:0
[27-Jan-2022 07:22:12 UTC] PHP   2. require() C:\Users\RPC45\Local Sites\mysite2\app\public\index.php:17
[27-Jan-2022 07:22:12 UTC] PHP   3. wp() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-blog-header.php:16
[27-Jan-2022 07:22:12 UTC] PHP   4. WP->main() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\functions.php:1310
[27-Jan-2022 07:22:12 UTC] PHP   5. WP->parse_request() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp.php:758
[27-Jan-2022 07:22:12 UTC] PHP   6. do_action_ref_array() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp.php:396
[27-Jan-2022 07:22:12 UTC] PHP   7. WP_Hook->do_action() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\plugin.php:522
[27-Jan-2022 07:22:12 UTC] PHP   8. WP_Hook->apply_filters() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:331
[27-Jan-2022 07:22:12 UTC] PHP   9. call_user_func_array:{C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:307}() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:307
[27-Jan-2022 07:22:12 UTC] PHP  10. rest_api_loaded() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:307
[27-Jan-2022 07:22:12 UTC] PHP  11. WP_REST_Server->serve_request() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\rest-api.php:386
[27-Jan-2022 07:22:12 UTC] PHP  12. apply_filters() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\rest-api\class-wp-rest-server.php:437
[27-Jan-2022 07:22:12 UTC] PHP  13. WP_Hook->apply_filters() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\plugin.php:189
[27-Jan-2022 07:22:12 UTC] PHP  14. call_user_func_array:{C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:307}() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:307
[27-Jan-2022 07:22:12 UTC] PHP  15. QM_Dispatcher_REST->filter_rest_post_dispatch() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-includes\class-wp-hook.php:307
[27-Jan-2022 07:22:12 UTC] PHP  16. QM_Output_Headers->output() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-content\plugins\query-monitor\dispatchers\REST.php:41
[27-Jan-2022 07:22:12 UTC] PHP  17. QM_Output_Headers_PHP_Errors->get_output() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-content\plugins\query-monitor\output\Headers.php:17
[27-Jan-2022 07:22:12 UTC] PHP  18. wp_list_pluck() C:\Users\RPC45\Local Sites\mysite2\app\public\wp-content\plugins\query-monitor\output\headers\php_errors.php:43
